|user_id|created_at|senator_name|text
32|2891210047|2022-05-05T17:16:26.000Z|Dan Sullivan|RT  After hosting a listening session in April on military bases in Alaska regarding suicide among military members Sen Dan Su
33|2891210047|2022-05-05T17:52:20.000Z|Dan Sullivan|Our AlaskanoftheWeek is Alison Kear of Anchorage who is celebrating 25 years serving as the executive director of  which does amazing work assisting homeless youth in Alaska   Watch live around 300PM ET  1100AM AKT  
34|2891210047|2022-05-05T20:16:32.000Z|Dan Sullivan|RT   as Senate floor chart 
35|2891210047|2022-05-05T22:03:30.000Z|Dan Sullivan|Alaska Native  American Indian women are murdered  assaulted at rates as high as 10x the national averagean enduring tragedy that cannot go unaddressed   Today we recommit to shining a light on these unsolved cases and pursuing justice for victims  their families MMIWG 
36|2891210047|2022-05-06T18:21:03.000Z|Dan Sullivan|A great group of students made the 3000 mile trek from Jack Egnaty Sr K12 School in Sleetmute Alaska to our nations capital this week The kids are getting a full experience seeing the sights of DC and learning more about our countrys history and federal government 
37|2891210047|2022-05-06T18:22:45.000Z|Dan Sullivan|I was glad to welcome them on the Capitol steps hear about their trip and take some questions Thank you Ms Hayden and the parents for making this impactful trip possible 
38|2891210047|2022-05-07T21:22:20.000Z|Dan Sullivan|RT   It goes to this energy issue that were all talking about it goes to the same problem  other agencies who
39|2891210047|2022-05-08T19:30:15.000Z|Dan Sullivan|Strong caring mothers are foundational to our families our communities and our country   On this MothersDay be sure to hug your mom and tell her you love herwhether youre just next door or thousands of miles away Every day is a gift 
40|2891210047|2022-05-09T13:55:23.000Z|Dan Sullivan|RT  Mother knows best 
41|2891210047|2022-05-09T22:38:45.000Z|Dan Sullivan|RT  One of the biggest drags on the economy are rising energy costs This is purely a self inflicted wound by the Biden adminis
42|2891210047|2022-05-10T18:56:32.000Z|Dan Sullivan|As Joe Biden addresses the nation on inflation average gas prices are at another RECORD high today 437   Joe Biden can ease the pain today All he needs to do is reverse his devastating energy policies   Plz start in Alaska thanks 
43|2891210047|2022-05-10T19:58:00.000Z|Dan Sullivan|Joe Biden says Americans are facing the Putin price hike This is fundamentally untrue   When Biden came into office gas prices were 238   The day before Putin invaded gas prices were  351   Today 437
44|2891210047|2022-05-11T13:01:00.000Z|Dan Sullivan|The Biden administration says inflation is  N̶o̶t̶ ̶h̶a̶p̶p̶e̶n̶i̶n̶g̶ T̶r̶a̶n̶s̶i̶t̶o̶r̶y̶ A̶ ̶h̶i̶g̶h̶̶c̶l̶a̶s̶s̶ ̶p̶r̶o̶b̶l̶e̶m̶ A̶ ̶̶g̶o̶o̶d̶̶ ̶t̶h̶i̶n̶g̶ C̶O̶V̶I̶D̶̶s̶ ̶f̶a̶u̶l̶t̶ P̶u̶t̶i̶n̶̶s̶ ̶f̶a̶u̶l̶t̶ Ultra MAGA Republicans fault
45|2891210047|2022-05-11T13:25:04.000Z|Dan Sullivan|RT  This hour  and  both members of  to discuss the latest developments in Ukraine
46|2891210047|2022-05-11T18:33:01.000Z|Dan Sullivan|How many more record highs do we have to hit before President Biden gets a clue and takes his boot off the neck of American energy producers 
47|2891210047|2022-05-11T20:15:20.000Z|Dan Sullivan|Several years ago Vladimir KaraMurza a prominent Putin critic who is jailed today told me that producing more US energy was the best way to undermine Vladimir Putin   In  I asked s senior intel officials if they agree with this courageous Russian dissident 
48|2891210047|2022-05-11T21:48:57.000Z|Dan Sullivan|Joe Biden has an everevolving culprit for this devastating unprecedented inflation but the American people are wise   said it bestAnyone upset with high gas prices just look at what the Biden administration has done sequestering half of Alaska 
49|2891210047|2022-05-12T12:30:00.000Z|Dan Sullivan|Alaska has been singularly targeted with 23 executive orders  actions from the Biden administration aimed at shutting down economic opportunities and access to our lands   The war on Alaskas working families has to stop 
50|2891210047|2022-05-12T18:48:35.000Z|Dan Sullivan|Just two days agoPresident Biden claimed again that he is doing everything in his power to bring down historicallyhigh energy prices The administrations announcement that it will cancel these lease sales is just more proof that he is not  
51|2891210047|2022-05-12T18:49:23.000Z|Dan Sullivan|The nature by which this announcement came to newsfrom the White Houses ultraleft Climate Czar Gina McCarthy just down the hall from the Presidentnot the Department of Interiorraises further questions over who is crafting these disastrous energy policies
52|2891210047|2022-05-12T18:51:26.000Z|Dan Sullivan|The administration claims there was no interest among producers As the former Natural Resources Commissioner for Alaska I know there is no way they could have confirmed no interest until they HELD the lease sale Joe Biden is blatantly lying to the American people
53|2891210047|2022-05-12T18:55:11.000Z|Dan Sullivan|If it werent evident before todays announcement should make it crystal clear Joe Biden and his administration are beholden to the radical left
54|2891210047|2022-05-12T18:57:14.000Z|Dan Sullivan|The timing of this decision displays a disturbing disregard for the pain American families continue to feel at the pump for the Americans whose livelihoods and communities depend on the industry and for the grave consequences these policies have on national security
55|2891210047|2022-05-12T18:59:36.000Z|Dan Sullivan|As Gina McCarthy celebrates this decision from the White House rest assured Vladimir Putin is popping corks in the Kremlin
56|2891210047|2022-05-12T20:05:36.000Z|Dan Sullivan|Although I respect his experience and knowledge today I voted against the confirmation of Jay Powell to serve a second term as chairman of the Federal Reserve  My full statement ️ 
57|2891210047|2022-05-12T20:11:02.000Z|Dan Sullivan|RT   NEW Today RM  and  introduced the Improving Access to the VA Home Loan Act of 2022  This b
58|2891210047|2022-05-16T14:28:38.000Z|Dan Sullivan|RT  Rising prices continue hurting Americans Republicans say the economy was starting to show improvement until Biden  D
59|2891210047|2022-05-16T20:21:49.000Z|Dan Sullivan|For 50 years Alaskas  Americas fishermen have lacked a meaningful seat at the table in the federal fisheries grant processa frustration brought to my attention by a Kodiak fisherman in 2015  I committed to getting this fixed and we delivered️  
60|2891210047|2022-05-16T20:48:06.000Z|Dan Sullivan|With the signing of the American Fisheries Advisory Committee Act Alaskans will once again have a voice in directing the millions of federal grant dollars toward the priorities and needs of the fishing industry 
61|2891210047|2022-05-17T00:38:59.000Z|Dan Sullivan|Alaskans are mourning the passing of a pioneering Alaskan Joe Usibelli Sr who helped our state realize its great mineral potential Julie and I offer our prayers and condolences to Peggy and the entire Usibelli family during this difficult time 
62|2891210047|2022-05-17T20:06:25.000Z|Dan Sullivan|RT  We are going to have an INCREDIBLE Power The Future Energy Hour tonight beginning at 5PM Join me on KVNT 925FM 1020AM h
63|2891210047|2022-05-17T20:31:47.000Z|Dan Sullivan|Today gas prices in Alaska hit a record 5  The sad truth is the pain Americans experience each time they fill up their vehicle is part of an intentional plan by this administrationbeholden to the ultraleftto drive up prices to accelerate the transition to renewables 
64|2891210047|2022-05-18T15:12:14.000Z|Dan Sullivan|I implore Joe Biden to abandon the radical lefts destructive antiAmerican energy agenda There is another way We can protect the environment AND unleash American energy Read my American Energy Jobs  Climate plan Mr President  
65|2891210047|2022-05-18T16:42:43.000Z|Dan Sullivan|Today my colleagues and I introduced the INDEX Act to empower individual investors and foster a healthier more competitive and more democratic corporate governance ecosystem   More details   
66|2891210047|2022-05-18T17:05:00.000Z|Dan Sullivan|BlackRock State Street  Vanguard  cast about  of all votes at shareholder meetings   Today I introduced the INDEX Act to correct this extreme market distortion and empower investors  Our bill ️  
67|2891210047|2022-05-18T18:43:52.000Z|Dan Sullivan|The Big 3 Wall Street firms today are the largest shareholders in over 90 of the SP Theyve often used this consolidated power to push political agendas most Americans oppose  My INDEX Act would return the voting power to where it belongswith fund investors not advisers 
68|2891210047|2022-05-18T19:40:02.000Z|Dan Sullivan|RT  NEW I spoke to  about his INDEX Act which would give more power to passive investors who invest their mone
69|2891210047|2022-05-18T23:30:07.000Z|Dan Sullivan|RT  Indeed the creative power of American democracy supported by a strong military has done more to liberate men and women ac
70|2891210047|2022-05-19T14:24:40.000Z|Dan Sullivan|RT  Maybe  doesnt want it but I think the average American recognizes that we need to produce more American energy
